"year","GOA.ar1","EBS.ar1","member","model"
1995,0.300264110559432,0.175406749893625,"LE2-1301.016","FCM"
1996,0.243612694869639,0.124394477934626,"LE2-1301.016","FCM"
1997,0.378859251144775,0.224376996829688,"LE2-1301.016","FCM"
1998,0.392808167347952,0.294987984484331,"LE2-1301.016","FCM"
1999,0.373371234651331,0.190324686112798,"LE2-1301.016","FCM"
2000,0.280381137539848,-0.0936131223492755,"LE2-1301.016","FCM"
2001,0.555371850820992,0.19003587325062,"LE2-1301.016","FCM"
2002,0.54899287216932,0.128216513475328,"LE2-1301.016","FCM"
2003,0.441367842448736,0.192816744136269,"LE2-1301.016","FCM"
2004,0.46909403131612,0.397552498527742,"LE2-1301.016","FCM"
2005,0.500789565870587,0.336245197227076,"LE2-1301.016","FCM"
2006,0.515313186224125,0.193525773251283,"LE2-1301.016","FCM"
2007,0.480720469647431,0.32645537052069,"LE2-1301.016","FCM"
2008,0.457486908334286,0.29464216858731,"LE2-1301.016","FCM"
2009,0.556802121816228,0.318263300413143,"LE2-1301.016","FCM"
2010,0.577394017715148,0.323295882809243,"LE2-1301.016","FCM"
2011,0.545716135152544,0.228448831560872,"LE2-1301.016","FCM"
2012,0.548479131600505,0.300697907729239,"LE2-1301.016","FCM"
2013,0.579153970858735,0.348024671045265,"LE2-1301.016","FCM"
2014,0.582456506122394,0.262657747609276,"LE2-1301.016","FCM"
1964,0.190981903023588,0.50887774105094,"LE2-1301.017","FCM"
1965,0.288793566191045,0.57426457195518,"LE2-1301.017","FCM"
1966,0.195269292125145,0.414830790354107,"LE2-1301.017","FCM"
1967,0.332267929191608,0.3763829646753,"LE2-1301.017","FCM"
1968,0.484112786494049,0.278678599163044,"LE2-1301.017","FCM"
1969,0.454499636487063,0.0153999916025208,"LE2-1301.017","FCM"
1970,0.411887816904411,-0.154317499547601,"LE2-1301.017","FCM"
1971,0.40228122649521,-0.154596245185904,"LE2-1301.017","FCM"
