"year","AL.anom","member","model"
1857,33.8968803255936,"LE2-1071.004","FCM"
1858,-568.096507904625,"LE2-1071.004","FCM"
1859,924.737540809272,"LE2-1071.004","FCM"
1860,-176.367703992371,"LE2-1071.004","FCM"
1861,520.306305120333,"LE2-1071.004","FCM"
1862,466.000218495772,"LE2-1071.004","FCM"
1863,-694.453707609235,"LE2-1071.004","FCM"
1864,157.648775742514,"LE2-1071.004","FCM"
1865,469.279456367088,"LE2-1071.004","FCM"
1866,-491.298102993332,"LE2-1071.004","FCM"
1867,-121.807400783456,"LE2-1071.004","FCM"
1868,-565.585703256945,"LE2-1071.004","FCM"
1869,-842.85140280614,"LE2-1071.004","FCM"
1870,206.867742842424,"LE2-1071.004","FCM"
1871,827.731149128386,"LE2-1071.004","FCM"
1872,316.873514010088,"LE2-1071.004","FCM"
1873,91.7502983306988,"LE2-1071.004","FCM"
1874,-573.018851690422,"LE2-1071.004","FCM"
1875,-686.494028405468,"LE2-1071.004","FCM"
1876,534.058730707819,"LE2-1071.004","FCM"
1877,-475.938739905295,"LE2-1071.004","FCM"
1878,-690.349372567844,"LE2-1071.004","FCM"
1879,861.72022166037,"LE2-1071.004","FCM"
1880,-479.801955567928,"LE2-1071.004","FCM"
1881,-133.100712016703,"LE2-1071.004","FCM"
1882,-447.25704401555,"LE2-1071.004","FCM"
1883,266.857886066305,"LE2-1071.004","FCM"
1884,509.595221000728,"LE2-1071.004","FCM"
1885,1267.39377080177,"LE2-1071.004","FCM"
1886,587.136196509357,"LE2-1071.004","FCM"
1887,-616.778712429933,"LE2-1071.004","FCM"
1888,-129.049587609469,"LE2-1071.004","FCM"
1889,275.209482416423,"LE2-1071.004","FCM"
1890,-464.164172462396,"LE2-1071.004","FCM"
1891,-80.3743584033796,"LE2-1071.004","FCM"
1892,-601.70715140167,"LE2-1071.004","FCM"
1893,-397.593027860324,"LE2-1071.004","FCM"
1894,35.6607005116522,"LE2-1071.004","FCM"
1895,-47.1167512425476,"LE2-1071.004","FCM"
1896,467.952403299865,"LE2-1071.004","FCM"
1897,533.573359174862,"LE2-1071.004","FCM"
1898,23.4333260313429,"LE2-1071.004","FCM"
