"lon","lat","ar1.e1","ar1.e2","diff","variable"
240,65.75,-0.178290444742777,-0.117931815276528,0.0603586294662486,"SST"
240.25,65.75,-0.152292720961152,-0.106780028097684,0.045512692863468,"SST"
240.75,65.75,-0.170186767630334,-0.148675999460153,0.021510768170181,"SST"
241.5,65.75,-0.146835111770559,-0.12876409341549,0.0180710183550684,"SST"
180.5,65.5,0.276672231612961,0.243281591835819,-0.0333906397771421,"SST"
180.75,65.5,0.316249119546047,0.242799986026955,-0.0734491335190919,"SST"
181,65.5,0.331279331822533,0.252760673359253,-0.0785186584632808,"SST"
181.25,65.5,0.344742449427849,0.26988333302711,-0.074859116400739,"SST"
181.5,65.5,0.391813694440971,0.245278948757085,-0.146534745683886,"SST"
182.25,65.5,0.30278541339928,0.205934414374389,-0.0968509990248914,"SST"
182.75,65.5,0.30278541339928,0.205934414374389,-0.0968509990248914,"SST"
183.5,65.5,0.149178500035749,0.274015681946996,0.124837181911247,"SST"
184,65.5,0.149178500035749,0.274015681946996,0.124837181911247,"SST"
188.5,65.5,0.171480991427267,0.462828263034733,0.291347271607466,"SST"
189,65.5,0.235407185675171,0.478646742401207,0.243239556726035,"SST"
189.25,65.5,0.203382758196816,0.472020035681856,0.26863727748504,"SST"
189.5,65.5,0.124550073964915,0.470038770284497,0.345488696319582,"SST"
189.75,65.5,0.0293052035581585,0.473583562265628,0.44427835870747,"SST"
190,65.5,-0.0708828237464335,0.460996891722365,0.531879715468799,"SST"
190.25,65.5,-0.189000229368812,0.45981358940098,0.648813818769791,"SST"
190.5,65.5,-0.300301334421933,0.473413473326684,0.773714807748617,"SST"
190.75,65.5,-0.393461318279865,0.481610391714873,0.875071709994737,"SST"
191,65.5,-0.464136903751238,0.474313625361398,0.938450529112636,"SST"
191.25,65.5,-0.515882985848125,0.464506122789524,0.980389108637648,"SST"
191.5,65.5,-0.476188476387232,0.453931471087608,0.93011994747484,"SST"
191.75,65.5,-0.433361993880165,0.424164305464558,0.857526299344723,"SST"
192,65.5,-0.371213337150227,0.383080185555838,0.754293522706065,"SST"
192.25,65.5,-0.327701289476057,0.353707302916441,0.681408592392499,"SST"
192.75,65.5,-0.344142789589587,0.308697330587588,0.652840120177175,"SST"
237.25,65.5,-0.204204830132866,-0.113183912776168,0.0910209173566978,"SST"
237.75,65.5,-0.208315234566951,-0.0973082538763142,0.111006980690637,"SST"
238,65.5,-0.217852651466639,-0.0881350717728731,0.129717579693766,"SST"
238.25,65.5,-0.221102101123596,-0.0815920120682036,0.139510089055392,"SST"
238.75,65.5,-0.174532886957216,-0.0120555371664692,0.162477349790747,"SST"
239.25,65.5,-0.188834346342701,-0.166655831970079,0.0221785143726222,"SST"
239.5,65.5,-0.172359200728463,-0.169618858126831,0.00274034260163109,"SST"
239.75,65.5,-0.163405454034023,-0.16522713015641,-0.00182167612238643,"SST"
240,65.5,-0.172836742788488,-0.152054074222003,0.0207826685664857,"SST"
240.25,65.5,-0.143610475882112,-0.162204504025262,-0.0185940281431501,"SST"
180.5,65.25,0.418618605028778,0.209703415275676,-0.208915189753102,"SST"
180.75,65.25,0.425204168416852,0.212631573750243,-0.212572594666609,"SST"
181,65.25,0.431396275327934,0.209778171686055,-0.221618103641879,"SST"
181.25,65.25,0.414768794661871,0.208330088884172,-0.206438705777699,"SST"
181.5,65.25,0.423151635980688,0.211159136903739,-0.21199249907695,"SST"
181.75,65.25,0.448647903674139,0.201114347993428,-0.24753355568071,"SST"
182,65.25,0.421592555489565,0.195864993203565,-0.225727562286001,"SST"
182.25,65.25,0.345811413404618,0.192661940480198,-0.153149472924421,"SST"
182.5,65.25,0.277198507597597,0.220427582250152,-0.0567709253474457,"SST"
182.75,65.25,0.225769208846252,0.230409896315349,0.00464068746909671,"SST"
183,65.25,0.174248098691619,0.240750912474038,0.0665028137824183,"SST"
183.25,65.25,0.144870487530441,0.258365804443819,0.113495316913378,"SST"
183.5,65.25,0.137383300992941,0.274787013362529,0.137403712369588,"SST"
183.75,65.25,0.123623820588761,0.287346310241071,0.16372248965231,"SST"
184,65.25,0.149007009162502,0.273487794552122,0.12448078538962,"SST"
188,65.25,0.187152955859155,0.464651347490933,0.277498391631777,"SST"
188.25,65.25,0.184236304350272,0.468597324704335,0.284361020354063,"SST"
188.5,65.25,0.191744460142704,0.468696070439795,0.276951610297091,"SST"
188.75,65.25,0.145110468233302,0.446518262107353,0.301407793874052,"SST"
189,65.25,0.0666646226082781,0.44062232932465,0.373957706716372,"SST"
189.25,65.25,0.00336785443976902,0.417839834062416,0.414471979622647,"SST"
189.5,65.25,-0.0626936575579382,0.413894310506634,0.476587968064573,"SST"
189.75,65.25,-0.127290741001761,0.428127987956288,0.55541872895805,"SST"
190,65.25,-0.185993419338695,0.458058746778351,0.644052166117046,"SST"
190.25,65.25,-0.305996011906117,0.486371133161233,0.79236714506735,"SST"
190.5,65.25,-0.406841243327238,0.516383466311169,0.923224709638407,"SST"
190.75,65.25,-0.485639452792703,0.52600451814722,1.01164397093992,"SST"
